All,"Tất Cả"
"Custom Email 1","Email Tùy Biến 1"
"Sender Email","Email người gửi"
"Sender Name","Tên người gửi"
"Custom Email 2","Email Tùy Biến 2"
"General Contact","Thông Tin Liên Lạc Chung"
"Sales Representative","Đại Diện Bán Hàng"
"Customer Support","Bộ Phận Hỗ Trợ Khách Hàng"
Developer,"Nhà Phát Triển"
"Template Settings","Các Cấu Hình Mẫu Template"
"Allow Symlinks","Cho Phép Các Liên Kết Tượng Trưng"
"Minify Html","Thu Gọn HTML"
"Translate Inline","Dịch Trực Tiếp Inline"
"Enabled for Storefront","Bật cho Website Bán Hàng"
"Enabled for Admin","Bật Cho Quản Trị Viên"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Dịch, các khổi block và các dữ liệu ra của bộ nhớ ngoài cache nên được tắt cho cả phiên dịch trực tiếp inline trên web bán hàng và quản trị viên."
"JavaScript Settings","Cấu Hình JavaScript"
"Merge JavaScript Files","Sát Nhập Các File JavaScript"
"Minify JavaScript Files","Thu Gọn Các File JavaScript"
"CSS Settings","Cấu Hình CSS"
"Merge CSS Files","Sát Nhập Các File CSS"
"Minify CSS Files","Thu Gọn Các File CSS"
"Image Processing Settings","Cấu Hình Xử Lý Hình Ảnh"
"Image Adapter","Bộ Điều Hợp Hình Ảnh"
"Static Files Settings","Cấu Hình Các Static File Tĩnh"
"Sign Static Files","Đánh Dấu các Static File Tĩnh"
"Country Options","Các Lựa Chọn Quốc Gia"
"Allow Countries","Cho Phép Nhiếu Quốc Gia"
"Default Country","Quốc Gia Mặc Định"
"European Union Countries","Các Quốc Gia Liên Minh Châu Âu"
"Top destinations","Các điểm đến hàng đầu"
"Locale Options","Tùy Chọn Miền Địa Phương"
Timezone,"Múi Giờ"
Locale,"Ngôn ngữ và khu vực"
"First Day of Week","Ngày Đầu Tiên trong Tuần"
"Weekend Days","Các Ngày Cuối Tuần"
"Store Name","Tên cửa hàng"
"Store Phone Number","Số điện thoại cửa hàng"
"Store Hours of Operation","Giờ Hoạt Động của Cửa Hàng"
Country,"Quốc gia"
Region/State,"Vùng/Khu vực"
"ZIP/Postal Code","Mã Bưu điện/Bưu chính"
City,"Thành phố"
"Street Address","Địa chỉ đường"
"Street Address Line 2","Địa Chỉ Phố Dòng 2"
"VAT Number","Số VAT"
"Single-Store Mode","Chế Độ Một Cửa Hàng"
"Enable Single-Store Mode","Bật Chế Độ Một Cửa Hàng"
"This setting will not be taken into account if system has more than one store view.","Thiết lập này sẽ không được tính nếu hệ thống có nhiều hơn một kiểu cửa hàng hiển thị."
"Mail Sending Settings","Cấu Hình Gửi Thư"
"Disable Email Communications","Tắt Các Liên Lạc qua Email"
Host,"Lưu Trữ"
"Port (25)","Cổng (25)"
"Set Return-Path","Thiết Lập Đường Dẫn Quay Lại (Return-Path)"
"Return-Path Email","Đường Dẫn Quay Lại Email"
Admin,"Quản trị"
"Admin User Emails","Các Địa Chỉ Email của Quản Trị Viên"
"Forgot Password Email Template","Mẫu Template của Email khi Quên Mật Khẩu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"Forgot and Reset Email Sender","Người Gửi Email Quên & Tạo Lại Mật Khẩu"
"Startup Page","Trang Khởi Động"
"Admin Base URL","Đường Dẫn Cơ Sở (Base URL) của Quản Trị Viên"
"Use Custom Admin URL","Sử Dụng Đường Dẫn URL Tùy Biến cho Quản Trị Viên"
"Custom Admin URL","Đường Dẫn URL Tùy Biến cho Quản Trị Viên"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Đảm bảo rằng đường dẫn cơ sở base URL kết thúc bằng '/' (dấu gạch chéo), ví dụ: http://yourdomain/magento/"
"Use Custom Admin Path","Sử Dụng Đường Dẫn Path Tùy Biến cho Quản Trị Viên"
"Custom Admin Path","Đường Dẫn Path Tùy Biến cho Quản Trị Viên"
"You will have to sign in after you save your custom admin path.","Bạn sẽ phải dăng nhập sau khi lưu đường dẫn path tùy biến cho quản trị viên."
Security,"Bảo Mật"
"Recovery Link Expiration Period (hours)","Thời gian hết hạn liên kết Phục hồi (giờ)"
"Please enter a number 1 or greater in this field.","Hãy điền một số lớn hơn hoặc bằng 1 vào trường này."
"Add Secret Key to URLs","Thêm Mã Khóa Bí Mật vào Các Đường Dẫn URLs"
"Login is Case Sensitive","Đăng nhập phân biệt viết hoa và viết thường"
"Admin Session Lifetime (seconds)","Chu Kì Một Phiên Quản Trị (tính theo giây )"
"Enable Charts","Bật Các Biểu Đồ"
"Url Options","Các Tùy Chọn của Đường Dẫn URL"
"Add Store Code to Urls","Thêm Mã Cửa Hàng vào URL"
"Auto-redirect to Base URL","Tự Động Điều Hướng đến Đường Dẫn Cơ Sở (Base URL)"
"Search Engine Optimization","Tối Ưu Công Cụ Tìm Kiếm"
"Use Web Server Rewrites","Sử Dụng Máy Chủ Web Server Ghi Đè"
"Base URLs","Các Đường Dẫn Cơ Sở URL"
"Base URL","Đường Dẫn Cơ Sở URL"
"Specify URL or {{base_url}} placeholder.","Chỉ Định Đường Dẫn URL hoặc Phần Lưu Giữ {{base_url}}."
"Base Link URL","Đường Dẫn Cơ Sở Link URL"
"Base URL for Static View Files","Đường Dẫn Cơ Sở URL dành cho Các File Static View"
"May be empty or start with {{unsecure_base_url}} placeholder.","Có thể bỏ trống hoặc bắt đầu với phần lưu giữ {{unsecure_base_url}}."
"Base URL for User Media Files","Đường Dẫn Cơ Sở URL dành cho Các File User Media"
"Base URLs (Secure)","Các Đường Dẫn Cơ Sở URL (Bảo Mật)"
"Secure Base URL","Bảo Mật Đường Dẫn Cơ Sở URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Chỉ Định Đường Dẫn URL hoặc Phần Lưu Giữ {{base_url}}, hoặc {{unsecure_base_url}}."
"Secure Base URL for Static View Files","Bảo Mật Đường Dẫn Cơ Sở URL cho Các File Static View"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Có thể bỏ trống hoặc bắt đầu với phần lưu giữ {{secure_base_url}}, hoặc {{unsecure_base_url}}."
"Secure Base URL for User Media Files","Bảo Mật Đường Dẫn Cơ Sở URL cho Các File User Media"
"Use Secure URLs on Storefront","Sử Dụng Các Đường Dẫn URL Bảo Mật cho Storefront Web Bán Hàng"
"Use Secure URLs in Admin","Sử Dụng Các Đường Dẫn URL Bảo Mật cho Phần Quản Trị"
"Offloader header","Giảm Tải Đầu Trang"
"Default Pages","Các Trang Mặc Định"
"Default Web URL","Đường Dẫn URL Mặc Định của Web"
"Default No-route URL","Đường Dẫn URL Không Định Tuyến Mặc Định "
"Session Validation Settings","Cấu Hình Phiên Xác Nhận"
"Validate REMOTE_ADDR","Xác Nhận REMOTE_ADDR"
"Validate HTTP_VIA","Xác Nhận HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Xác Nhận HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Xác Nhận HTTP_USER_AGENT"
"Cache Type","Loại Bộ Nhớ Cache"
Description,"Mô tả"
Tags,"Các Thẻ Gắn"
"Community Edition","Phiên Bản dành cho Cộng Đồng"
Pagination,"Phân Chia Trang"
"How many links to display at once.","Bao nhiêu đường dẫn được hiển thị cùng một lúc"
"Pagination Frame","Khung Phân Chia Trang"
"Pagination Frame Skip","Bỏ Qua Khung Phân Chia Tran g"
"Anchor Text for Previous","Anchor Text cho Trang Trước"
"Anchor Text for Next","Anchor Text cho Trang Sau"
"System Backup","Sao lưu hệ thống"
"Database and Media Backup","Cơ sở dữ liệu và phương tiện sao lưu"
"Database Backup","Sao lưu cơ sở dữ liệu"
"You need more permissions to activate maintenance mode right now.","Bạn cần thêm quyền để kích hoạt chế độ bảo trì."
"Something went wrong while putting your store into maintenance mode.","Xảy ra lỗi trong khi thiết lập chế độ bảo trì cửa hàng."
"You need more free space to create a backup.","Bạn cần thêm dung lượng trống để tạo bản sao lưu."
"You need more permissions to create a backup.","Bạn cần thêm quyền để tạo bản sao lưu."
"We can't create the backup right now.","Chúng tôi không thể tạo bản sao lưu ngay bây giờ."
Backups,"Bản sao lưu"
Backup,"Bản sao lưu"
"We can't delete one or more backups.","Chúng tôi không thể xoá một hoặc nhiều bản sao lưu."
failed,"Thất bại"
successful,"Thành công"
"You deleted the selected backup(s).","Bạn đã xóa bản sao lưu được chọn."
"Can't load snapshot archive","Không thể nạp ảnh chụp lưu trữ"
"Please correct the password.","Vui lòng điền đúng mật khẩu."
"We can't find the backup file.","Chúng tôi không thể tìm thấy tệp sao lưu."
"We can't connect to the FTP right now.","Chúng tôi không thể kết nối FTP ngay bây giờ."
"Failed to validate FTP.","FTP không thể xác nhận hợp lệ."
"You need more permissions to perform a rollback.","Bạn cần thêm quyền để thực hiện phục hồi."
"Failed to rollback.","Phục hồi thất bại."
Database,"Cơ sở dũ liệu"
"Database and Media","Dữ liệu và phương tiện"
"System (excluding Media)","Hệ thống (không bao gồm Phương tiện)"
"You created the system backup.","Bạn đã tạo hệ thống sao lưu."
"You created the system backup (excluding media).","Bạn đã tạo hệ thống sao lưu (không bao gồm Phương tiện)."
"You created the database and media backup.","Bạn đã tạo sao lưu dữ liệu và phương tiện."
"You created the database backup.","Bạn đã tạo sao lưu dữ liệu."
"Please correct the order of creation for a new backup.","Vui lòng điền đúng thứ tự khởi tạo bản sao lưu mới."
"The backup file does not exist.","Tệp sao lưu không tồn tại."
"The backup file path was not specified.","Đường dẫn tệp sao lưu chưa được xác nhận."
"The backup file handler was unspecified.","Xử lý tệp sao lưu không xác định."
"We can't save the Cron expression.","Chúng tôi không thể lưu các quy tắc cronjob."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Bạn sẽ mất dữ liệu đã tạo khi tạo bản sao, bao  gồm quản trị người dùng, khách hàng và đơn hàng."
"Are you sure you want to continue?","Bạn có chắc rằng bạn muốn tiếp tục?"
"This may take a few moments.","Nó sẽ mất một thời gian."
"Be sure your store is in maintenance mode during backup.","Chắc chắn rằng cửa hàng của bạn đang trong chế độ bảo trì trong quá trình sao lưu."
"Backup Name","Tên sao lưu"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Vui lòng chỉ dùng các ký tự (a-z or A-Z), số (0-9) hoặc dấu cách trong vùng này."
"Maintenance mode","Chế độ bảo trì"
"Please put your store into maintenance mode during backup.","Vui lòng thiết lập chế độ bảo trì cửa hàng trong khi sao lưu."
Exclude,"Ngoại trừ"
"Exclude media folder from backup","Ngoại trừ thư mục phương tiện từ sao lưu"
"Please enter the password to confirm rollback.","Vui lòng điền mật khẩu để xác nhận phục hồi."
"This action cannot be undone.","Thao tác này không được thực hiện."
"User Password","Mật khẩu người dùng"
"Please put your store into maintenance mode during rollback processing.","Vui lòng thiết lập chế độ bảo trì cửa hàng trong quá trình phục hồi."
"Use FTP Connection","Sử dụng kết nối FTP"
"FTP credentials","Giấy chứng nhận FTP"
"FTP Login","Đăng nhập FTP"
"FTP Password","Mật khẩu FTPsign in"
"Magento root directory","Thư mục Magento gốc"
"Create Backup","Tạo sao lưu"
Rollback,"Quay Trở Lại"
"Enable Scheduled Backup","Bật Hẹn Giờ Sao Lưu Dự Phòng"
Frequency,"Tần Suất"
"Maintenance Mode","Chế Độ Bảo Dưỡng"
"Are you sure you want to delete the selected backup(s)?","Bạn có chắc chắn là bạn muốn xóa các bản sao lưu dự phòng đã chọn không?"
Size(bytes),"Dung Lượng(bytes)"
Type,Loại
Download,"Tải về"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Use Default","Sử dụng mặc định"
Rule,"Quy tắc"
"Start Date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
